"","LoanAmount","City","State","Zip","NAICSCode","BusinessType","RaceEthnicity","Gender","Veteran","NonProfit","JobsReported","DateApproved","Lender","CD"
"4629",44800,"PITTSBURGH","PA",15237,541990,"Corporation","Unanswered","Unanswered","Unanswered","",4,"04/27/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"4630",44800,"MONROEVILLE","PA",15146,624410,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",6,"04/04/2020","Enterprise Bank","PA-18"
"4631",44800,"MONROEVILLE","PA",15146,NA,"Corporation","Unanswered","Unanswered","Unanswered","",10,"05/03/2020","PNC Bank, National Association","PA-18"
"4632",44800,"PITTSBURGH","PA",15237,561499,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",0,"04/14/2020","First National Bank of Pennsylvania","PA-17"
"4633",44800,"NORTH VERSAILLES","PA",15137,453998,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",7,"05/03/2020","PNC Bank, National Association","PA-18"
"4634",44800,"BRIDGEVILLE","PA",15017,541990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"4635",44800,"PITTSBURGH","PA",15219,541110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",1,"05/03/2020","PNC Bank, National Association","PA-18"
"4636",44800,"PITTSBURGH","PA",15213,561499,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",0,"04/08/2020","First National Bank of Pennsylvania","PA-18"
"4637",44800,"Penn Hills","PA",15235,811113,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"05/01/2020","Citizens Bank, National Association","PA-17"
"4638",44770,"MONONGAHELA","PA",15063,541219,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",7,"05/18/2020","Community Bank","PA-18"
"4639",44725,"PITTSBURGH","PA",15206,611699,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",3,"06/16/2020","Bank of America, National Association","PA-18"
"4640",44700,"Bridgeville","PA",15017,541613,"Corporation","Unanswered","Unanswered","Unanswered","",4,"04/16/2020","PNC Bank, National Association","PA-18"
"4641",44700,"Glenshaw","PA",15116,332111,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"05/08/2020","Citizens Bank, National Association","PA-17"
"4642",44700,"PITTSBURGH","PA",15238,541110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"05/03/2020","PNC Bank, National Association","PA-18"
"4643",44700,"SEWICKLEY","PA",15143,541511,"Corporation","Unanswered","Male Owned","Non-Veteran","",3,"05/03/2020","PNC Bank, National Association","PA-17"
"4644",44700,"PITTSBURGH","PA",15232,813410,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",5,"05/03/2020","PNC Bank, National Association","PA-18"
"4645",44700,"MARS","PA",16046,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",8,"04/07/2020","First National Bank of Pennsylvania","PA-16"
"4646",44700,"MC KEES ROCKS","PA",15136,493190,"Corporation","White","Male Owned","Non-Veteran","",8,"04/14/2020","First National Bank of Pennsylvania","PA-17"
"4647",44700,"Pittsburgh","PA",15241,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4648",44700,"SEVEN FIELDS","PA",16046,531120,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Unanswered","",4,"04/09/2020","First National Bank of Pennsylvania","PA-16"
"4649",44675.87,"Pittsburgh","PA",15206,511210,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Unanswered","",2,"04/30/2020","TIAA Bank, A Division of","PA-18"
"4650",44660,"Allison Park","PA",15101,337110,"Subchapter S Corporation","Unanswered","Male Owned","Unanswered","",5,"04/28/2020","Mars Bank","PA-17"
"4651",44627,"PITTSBURGH","PA",15219,448120,"Subchapter S Corporation","Unanswered","Male Owned","Unanswered","",9,"05/14/2020","First National Bank of Pennsylvania","PA-18"
"4652",44600,"PITTSBURGH","PA",15205,485999,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",3,"04/28/2020","PNC Bank, National Association","PA-17"
"4653",44600,"PITTSBURGH","PA",15232,812113,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",3,"05/05/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4654",44600,"TARENTUM","PA",15084,423120,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/29/2020","First Commonwealth Bank","PA-17"
"4655",44600,"ALLISON PARK","PA",15101,236115,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/12/2020","First National Bank of Pennsylvania","PA-17"
"4656",44600,"GIBSONIA","PA",15044,238220,"Corporation","Unanswered","Unanswered","Unanswered","",2,"05/12/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"4657",44500,"Elizabeth","PA",15037,236220,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4658",44500,"GLENSHAW","PA",15116,811111,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Unanswered","",4,"04/29/2020","The Farmers National Bank of Emlenton","PA-17"
"4659",44500,"Pittsburgh","PA",15236,541213,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",10,"04/30/2020","First Commonwealth Bank","PA-18"
"4660",44500,"GLASSPORT","PA",15045,213113,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",3,"04/06/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4661",44500,"PITTSBURGH","PA",15227,624410,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",13,"05/03/2020","PNC Bank, National Association","PA-18"
"4662",44500,"OAKMONT","PA",15139,621210,"Corporation","Unanswered","Male Owned","Non-Veteran","",9,"05/03/2020","PNC Bank, National Association","PA-17"
"4663",44500,"ASPINWALL","PA",15215,712120,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",2,"05/03/2020","PNC Bank, National Association","PA-17"
"4664",44500,"MC KEES ROCKS","PA",15136,238910,"Corporation","Unanswered","Unanswered","Unanswered","",9,"05/01/2020","First Commonwealth Bank","PA-17"
"4665",44500,"BETHEL PARK","PA",15102,561499,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/28/2020","First National Bank of Pennsylvania","PA-18"
"4666",44485,"WEXFORD","PA",15090,524210,"Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran","",3,"05/20/2020","Community Bank","PA-17"
"4667",44478,"NEW KENSINGTON","PA",15068,524210,"Corporation","Unanswered","Unanswered","Unanswered","",5,"04/30/2020","S & T Bank","PA-14"
"4668",44437,"WEXFORD","PA",15090,812910,"Limited  Liability Company(LLC)","White","Female Owned","Non-Veteran","",5,"04/15/2020","The Huntington National Bank","PA-17"
"4669",44432,"PITTSBURGH","PA",15237,621399,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Non-Veteran","",10,"04/10/2020","The Huntington National Bank","PA-17"
"4670",44400,"CARNEGIE","PA",15106,561990,"Corporation","Unanswered","Unanswered","Unanswered","",3,"04/15/2020","PNC Bank, National Association","PA-17"
"4671",44400,"PITTSBURGH","PA",15206,711110,"Corporation","Unanswered","Unanswered","Unanswered","",6,"04/15/2020","First Commonwealth Bank","PA-18"
"4672",44400,"BRACKENRIDGE","PA",15014,621111,"Corporation","Unanswered","Unanswered","Unanswered","",6,"04/27/2020","PNC Bank, National Association","PA-17"
"4673",44400,"Pittsburgh","PA",15228,611699,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",NA,"06/15/2020","Citizens Bank, National Association","PA-17"
"4674",44400,"Lower Burrell","PA",15068,561499,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/30/2020","First National Bank of Pennsylvania","PA-14"
"4675",44400,"Bethel Park","PA",15102,333249,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4676",44400,"PITTSBURGH","PA",15236,722511,"Partnership","Unanswered","Unanswered","Unanswered","",20,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4677",44400,"MCKEESPORT","PA",15132,531110,"Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran","",11,"04/28/2020","FinWise Bank","PA-18"
"4678",44400,"GLENSHAW","PA",15116,517919,"Corporation","White","Male Owned","Veteran","",6,"04/09/2020","Standard Bank, PaSB","PA-17"
"4679",44390,"ELIZABETH","PA",15037,561499,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",0,"04/29/2020","First National Bank of Pennsylvania","PA-18"
"4680",44360,"MARS","PA",16046,321999,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/12/2020","NexTier Bank, National Association","PA-16"
"4681",44350,"PITTSBURGH","PA",15210,441120,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",8,"04/27/2020","First National Bank of Pennsylvania","PA-18"
"4682",44305,"PITTSBURGH","PA",15217,811111,"Subchapter S Corporation","Unanswered","Male Owned","Unanswered","",4,"04/13/2020","First National Bank of Pennsylvania","PA-18"
"4683",44300,"PITTSBURGH","PA",15220,561720,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",9,"04/16/2020","PNC Bank, National Association","PA-18"
"4684",44300,"PITTSBURGH","PA",15238,424120,"Corporation","Unanswered","Unanswered","Unanswered","",4,"04/04/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4685",44300,"Cheswick","PA",15024,561730,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",6,"04/30/2020","First Commonwealth Bank","PA-17"
"4686",44300,"Pittsburgh","PA",15221,236118,"Limited Liability Partnership","Unanswered","Unanswered","Unanswered","",5,"04/30/2020","First Commonwealth Bank","PA-18"
"4687",44300,"PITTSBURGH","PA",15218,519120,"Corporation","Unanswered","Unanswered","Unanswered","",14,"04/28/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4688",44270,"Pittsburgh","PA",15217,621112,"Sole Proprietorship","Unanswered","Male Owned","Unanswered","",6,"04/16/2020","1st Summit Bank","PA-18"
"4689",44262.5,"PITTSBURGH","PA",15237,236118,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",4,"04/27/2020","WesBanco Bank, Inc.","PA-17"
"4690",44203,"WARRENDALE","PA",15086,811111,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/28/2020","NexTier Bank, National Association","PA-17"
"4691",44200,"Pittsburgh","PA",15237,524210,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"4692",44200,"PITTSBURGH","PA",15221,813920,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",2,"04/29/2020","PNC Bank, National Association","PA-18"
"4693",44200,"PITTSBURGH","PA",15210,551112,"Corporation","Unanswered","Unanswered","Unanswered","",4,"05/03/2020","PNC Bank, National Association","PA-18"
"4694",44200,"MORGAN","PA",15064,236118,"Corporation","Unanswered","Male Owned","Non-Veteran","",3,"05/03/2020","PNC Bank, National Association","PA-18"
"4695",44200,"CORAOPOLIS","PA",15108,517210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",10,"05/03/2020","PNC Bank, National Association","PA-17"
"4696",44200,"Pittsburgh","PA",15239,541940,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4697",44162,"PITTSBURGH","PA",15232,238210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",5,"04/11/2020","S & T Bank","PA-18"
"4698",44155,"PITTSBURGH","PA",15223,813410,"Non-Profit Organization","Unanswered","Male Owned","Unanswered","Y",5,"04/15/2020","First National Bank of Pennsylvania","PA-17"
"4699",44123,"SEWICKLEY","PA",15143,453110,"Corporation","Unanswered","Male Owned","Unanswered","",NA,"04/10/2020","NexTier Bank, National Association","PA-17"
"4700",44122,"NEW KENSINGTON","PA",15068,811111,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/12/2020","NexTier Bank, National Association","PA-14"
"4701",44121,"Pittsburgh","PA",15236,812113,"Self-Employed Individuals","Unanswered","Unanswered","Unanswered","",4,"06/04/2020","Kabbage, Inc.","PA-18"
"4702",44100,"SEWICKLEY","PA",15143,237990,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/11/2020","First National Bank of Pennsylvania","PA-17"
"4703",44100,"PITTSBURGH","PA",15227,541620,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"4704",44100,"PITTSBURGH","PA",15222,713940,"Limited  Liability Company(LLC)","White","Male Owned","Veteran","",6,"04/15/2020","The Huntington National Bank","PA-18"
"4705",44100,"Pittsburgh","PA",15236,327320,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"05/03/2020","Citizens Bank, National Association","PA-18"
"4706",44100,"PITTSBURGH","PA",15226,561499,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",0,"04/09/2020","First National Bank of Pennsylvania","PA-18"
"4707",44062,"PITTSBURGH","PA",15201,541810,"Corporation","Unanswered","Unanswered","Unanswered","",3,"04/12/2020","AmeriServ Financial Bank","PA-18"
"4708",44038,"PITTSBURGH","PA",15227,236118,"Corporation","Unanswered","Male Owned","Non-Veteran","",7,"04/28/2020","Alliance Bank Central Texas","PA-18"
"4709",44022,"BRIDGEVILLE","PA",15017,561990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",20,"05/22/2020","First National Bank of Pennsylvania","PA-18"
"4710",44017,"PITTSBURGH","PA",15237,811219,"Corporation","Unanswered","Unanswered","Unanswered","",10,"05/03/2020","Bank of America, National Association","PA-17"
"4711",44000,"PITTSBURGH","PA",15215,561499,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"04/09/2020","First National Bank of Pennsylvania","PA-17"
"4712",44000,"PITTSBURGH","PA",15203,453991,"Corporation","Unanswered","Male Owned","Unanswered","",9,"04/13/2020","First National Bank of Pennsylvania","PA-18"
"4713",44000,"PITTSBURGH","PA",15223,811111,"Corporation","Unanswered","Male Owned","Unanswered","",3,"06/02/2020","Standard Bank, PaSB","PA-17"
"4714",44000,"SEWICKLEY","PA",15143,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/14/2020","First National Bank of Pennsylvania","PA-17"
"4715",44000,"Pittsburgh","PA",15238,423690,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4716",44000,"McKees Rocks","PA",15136,722513,"Corporation","Unanswered","Female Owned","Non-Veteran","",NA,"05/01/2020","Citizens Bank, National Association","PA-17"
"4717",43951.89,"PITTSBURGH","PA",15219,561492,"Partnership","Unanswered","Unanswered","Unanswered","",3,"05/07/2020","SSB Bank","PA-18"
"4718",43935,"PITTSBURGH","PA",15239,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",5,"04/30/2020","S & T Bank","PA-18"
"4719",43900,"WEST VIEW","PA",15229,561499,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/16/2020","First National Bank of Pennsylvania","PA-17"
"4720",43900,"North Braddock","PA",15104,713910,"Partnership","Unanswered","Unanswered","Unanswered","",NA,"04/29/2020","Citizens Bank, National Association","PA-18"
"4721",43900,"PITTSBURGH","PA",15236,621111,"Corporation","Unanswered","Unanswered","Unanswered","",0,"04/11/2020","WesBanco Bank, Inc.","PA-18"
"4722",43900,"Pittsburgh","PA",15234,541330,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",NA,"04/27/2020","Citizens Bank, National Association","PA-17"
"4723",43900,"PITTSBURGH","PA",15207,NA,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",15,"05/03/2020","PNC Bank, National Association","PA-18"
"4724",43900,"PITTSBURGH","PA",15219,812990,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Non-Veteran","",4,"05/03/2020","PNC Bank, National Association","PA-18"
"4725",43900,"PITTSBURGH","PA",15224,423210,"Corporation","Unanswered","Unanswered","Unanswered","",5,"04/28/2020","S & T Bank","PA-18"
"4726",43900,"PITTSBURGH","PA",15232,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/28/2020","Citizens Bank, National Association","PA-18"
"4727",43874.9,"Mars","PA",16046,811219,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Unanswered","",3,"04/13/2020","Mars Bank","PA-16"
"4728",43860,"OAKDALE","PA",15071,722320,"Corporation","Unanswered","Unanswered","Unanswered","",3,"06/12/2020","WesBanco Bank, Inc.","PA-17"
"4729",43800,"WEXFORD","PA",15090,445299,"Corporation","White","Male Owned","Non-Veteran","",5,"04/07/2020","InFirst Bank","PA-17"
"4730",43800,"PITTSBURGH","PA",15212,561499,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/09/2020","First National Bank of Pennsylvania","PA-18"
"4731",43795,"Pittsburgh","PA",15213,722513,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",8,"04/28/2020","Northwest Bank","PA-18"
"4732",43728,"GIBSONIA","PA",15044,561730,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",7,"04/27/2020","NexTier Bank, National Association","PA-17"
"4733",43700,"PITTSBURGH","PA",15229,722513,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",10,"04/10/2020","KeyBank National Association","PA-17"
"4734",43700,"PITTSBURGH","PA",15238,621210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",6,"04/29/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4735",43700,"Pittsburgh","PA",15235,611110,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",10,"05/03/2020","PNC Bank, National Association","PA-17"
"4736",43700,"PITTSBURGH","PA",15232,523910,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"4737",43700,"OAKMONT","PA",15139,722410,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",22,"05/03/2020","PNC Bank, National Association","PA-17"
"4738",43700,"PITTSBURGH","PA",15213,561990,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",12,"05/03/2020","PNC Bank, National Association","PA-18"
"4739",43700,"Pittsburgh","PA",15218,511210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4740",43700,"Baden","PA",15005,237110,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"4741",43673,"PITTSBURGH","PA",15205,722511,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",7,"06/10/2020","First National Bank of Pennsylvania","PA-17"
"4742",43625,"PITTSBURGH","PA",15219,541191,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",6,"04/28/2020","S & T Bank","PA-18"
"4743",43600,"Carnegie","PA",15106,312140,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",8,"04/16/2020","PNC Bank, National Association","PA-17"
"4744",43600,"PITTSBURGH","PA",15237,621320,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"05/06/2020","PNC Bank, National Association","PA-17"
"4745",43600,"ROBINSON TOWNSHIP","PA",15135,812112,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",9,"04/13/2020","Dollar Bank, A Federal Savings Bank","PA-18"
"4746",43600,"PITTSBURGH","PA",15237,523930,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",4,"04/13/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"4747",43600,"Pittsburgh","PA",15218,238390,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4748",43600,"PITTSBURGH","PA",15201,812112,"Corporation","Unanswered","Unanswered","Unanswered","",7,"04/15/2020","PNC Bank, National Association","PA-18"
"4749",43547,"FINLEYVILLE","PA",15332,813110,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",6,"04/30/2020","Brentwood Bank","PA-14"
"4750",43530,"NATRONA HEIGHTS","PA",15065,621210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",6,"04/16/2020","KeyBank National Association","PA-17"
"4751",43522.5,"Pittsburgh","PA",15236,624410,"Limited  Liability Company(LLC)","Unanswered","Female Owned","Unanswered","",16,"04/15/2020","Clearview FCU","PA-18"
"4752",43500,"PITTSBURGH","PA",15238,448310,"Corporation","Unanswered","Unanswered","Unanswered","",4,"04/16/2020","PNC Bank, National Association","PA-18"
"4753",43500,"PITTSBURGH","PA",15221,722511,"Corporation","Unanswered","Female Owned","Unanswered","",20,"04/16/2020","First Commonwealth Bank","PA-18"
"4754",43500,"Pittsburgh","PA",15238,812112,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/16/2020","Citizens Bank, National Association","PA-18"
"4755",43500,"Pittsburgh","PA",15210,611699,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/16/2020","Citizens Bank, National Association","PA-18"
"4756",43500,"PITTSBURGH","PA",15201,561499,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Unanswered","",0,"04/30/2020","First National Bank of Pennsylvania","PA-18"
"4757",43500,"Allison Park","PA",15101,722513,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",17,"04/30/2020","First Commonwealth Bank","PA-17"
"4758",43500,"PITTSBURGH","PA",15222,711310,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",1,"04/14/2020","Enterprise Bank","PA-18"
"4759",43500,"PITTSBURGH","PA",15219,524113,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",1,"05/03/2020","PNC Bank, National Association","PA-18"
"4760",43500,"PITTSBURGH","PA",15203,325412,"Corporation","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-18"
"4761",43500,"PITTSBURGH","PA",15226,NA,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",9,"05/03/2020","PNC Bank, National Association","PA-18"
"4762",43500,"ALLISON PARK","PA",15101,624410,"Corporation","Unanswered","Unanswered","Unanswered","",13,"04/14/2020","First Commonwealth Bank","PA-17"
"4763",43500,"pittsburgh","PA",15206,813410,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4764",43435,"PITTSBURGH","PA",15234,621210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",5,"05/03/2020","Bank of America, National Association","PA-17"
"4765",43421,"Pittsburgh","PA",15220,812990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",9,"05/09/2020","Cross River Bank","PA-18"
"4766",43415,"OAKDALE","PA",15071,445310,"Corporation","Unanswered","Unanswered","Unanswered","",5,"04/15/2020","WesBanco Bank, Inc.","PA-17"
"4767",43413,"Pittsburgh","PA",15237,451110,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"4768",43400,"PITTSBURGH","PA",15224,621112,"Subchapter S Corporation","Asian","Male Owned","Unanswered","",5,"04/28/2020","Standard Bank, PaSB","PA-18"
"4769",43400,"PITTSBURGH","PA",15222,453998,"Corporation","Unanswered","Unanswered","Unanswered","",5,"04/10/2020","KeyBank National Association","PA-18"
"4770",43400,"PITTSBURGH","PA",15228,621310,"Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran","",5,"04/16/2020","PNC Bank, National Association","PA-17"
"4771",43400,"CORAOPOLIS","PA",15108,531110,"Corporation","Unanswered","Male Owned","Non-Veteran","",12,"04/14/2020","Truist Bank d/b/a Branch Banking & Trust Co","PA-17"
"4772",43400,"PITTSBURGH","PA",15221,238210,"Corporation","Unanswered","Unanswered","Unanswered","",7,"05/03/2020","PNC Bank, National Association","PA-18"
"4773",43400,"PITTSBURGH","PA",15232,339112,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"05/03/2020","PNC Bank, National Association","PA-18"
"4774",43400,"Monroeville","PA",15146,621320,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",5,"04/14/2020","PNC Bank, National Association","PA-18"
"4775",43400,"PITTSBURGH","PA",15213,NA,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",8,"05/03/2020","PNC Bank, National Association","PA-18"
"4776",43400,"PITTSBURGH","PA",15205,561312,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"05/03/2020","PNC Bank, National Association","PA-17"
"4777",43400,"PITTSBURGH","PA",15237,488119,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",3,"04/14/2020","PNC Bank, National Association","PA-17"
"4778",43400,"North Versailles","PA",15137,488410,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4779",43400,"Monroeville","PA",15146,621320,"Sole Proprietorship","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-18"
"4780",43400,"Pittsburgh","PA",15243,541990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"05/03/2020","Citizens Bank, National Association","PA-17"
"4781",43400,"PITTSBURGH","PA",15222,813312,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",4,"04/28/2020","PNC Bank, National Association","PA-18"
"4782",43355,"MARS","PA",16046,713940,"Corporation","Unanswered","Unanswered","Unanswered","",7,"05/01/2020","Fountainhead SBF LLC","PA-16"
"4783",43300,"PITTSBURGH","PA",15217,454210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",3,"05/03/2020","PNC Bank, National Association","PA-18"
"4784",43300,"PITTSBURGH","PA",15226,511120,"Corporation","Unanswered","Unanswered","Unanswered","",7,"05/03/2020","PNC Bank, National Association","PA-18"
"4785",43300,"Pittsburgh","PA",15228,621111,"Subchapter S Corporation","Unanswered","Female Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"4786",43300,"Baden","PA",15005,562910,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"4787",43300,"Allison Park","PA",15101,NA,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"05/03/2020","Citizens Bank, National Association","PA-17"
"4788",43300,"Pittsburgh","PA",15210,541614,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",7,"04/15/2020","PNC Bank, National Association","PA-18"
"4789",43281,"VERONA","PA",15147,238210,"Corporation","Unanswered","Unanswered","Unanswered","",5,"04/30/2020","S & T Bank","PA-17"
"4790",43275,"PITTSBURGH","PA",15238,423990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",2,"04/16/2020","First National Bank of Pennsylvania","PA-18"
"4791",43260,"VERONA","PA",15147,236220,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",8,"06/16/2020","WesBanco Bank, Inc.","PA-17"
"4792",43216,"N VERSAILLES","PA",15137,722513,"Subchapter S Corporation","White","Male Owned","Veteran","",15,"05/05/2020","The Huntington National Bank","PA-18"
"4793",43200,"PITTSBURGH","PA",15241,621330,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",2,"04/16/2020","Enterprise Bank","PA-18"
